show_id,type,title,director,country
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan
s243,TV Show,Comedy Premium League,Not Given,Pakistan
s244,TV Show,Everything Will Be Fine,Not Given,Pakistan
s246,TV Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan
s249,TV Show,The Chair,Not Given,Pakistan
s261,TV Show,The Defeated,Not Given,Pakistan
s310,TV Show,Car Masters: Rust to Riches,Not Given,Pakistan
s74,Movie,King of Boys,Kemi Adetiba,Nigeria
s321,TV Show,Top Secret UFO Projects: Declassified,Not Given,Pakistan
s337,TV Show,Friday Night Lights,Not Given,Pakistan
s365,TV Show,Centaurworld,Not Given,Pakistan
s369,TV Show,Khawatir,Not Given,Pakistan
s370,TV Show,Myth & Mogul: John DeLorean,Not Given,Pakistan
s377,TV Show,Transformers: War for Cybertron: Kingdom,Not Given,Pakistan
s380,TV Show,Tattoo Redo,Not Given,Pakistan
s382,TV Show,The Snitch Cartel: Origins,Not Given,Pakistan
s398,TV Show,Feels Like Ishq,Not Given,Pakistan
s483,TV Show,How to Become a Tyrant,Not Given,Pakistan
s82,Movie,Kate,Cedric Nicolas-Troyan,United States
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria
s87,Movie,Prey,Thomas Sieben,Germany
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Not Given,Pakistan
s405,Movie,9to5: The Story of a Movement,Not Given,Pakistan
s91,Movie,Paradise Hills,Alice Waddington,Spain
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France
s431,TV Show,Sexy Beasts,Not Given,Pakistan
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States
s432,TV Show,Too Hot to Handle: Brazil,Not Given,Pakistan
s436,TV Show,Touch Your Heart,Not Given,Pakistan
s467,TV Show,My Unorthodox Life,Not Given,Pakistan
s488,TV Show,The Cook of Castamar,Not Given,Pakistan
s491,TV Show,Elize Matsunaga: Once Upon a Crime,Not Given,Pakistan
s505,TV Show,The War Next-door,Not Given,Pakistan
s550,TV Show,Big Timber,Not Given,Pakistan
s572,TV Show,Generation 56k,Not Given,Pakistan
s591,TV Show,Sailor Moon Crystal,Not Given,Pakistan
s640,TV Show,Godzilla Singular Point,Not Given,Pakistan
s642,Movie,Sisters on Track,Not Given,Pakistan
s648,TV Show,The Parisian Agency: Exclusive Properties,Not Given,Pakistan
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Not Given
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Not Given
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Not Given
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Not Given
s94,Movie,JJ+E,Alexis Almström,Not Given
s113,Movie,Worth,Sara Colangelo,United States
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States
s114,Movie,Afterlife of the Party,Stephen Herek,United States
s654,TV Show,This Is Pop,Not Given,Pakistan
s659,TV Show,"Nevertheless,",Not Given,Pakistan
s762,TV Show,Human: The World Within,Not Given,Pakistan
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States
s664,TV Show,Charité at War,Not Given,Pakistan
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India
s698,TV Show,Elite Short Stories: Carla Samuel,Not Given,Pakistan
s108,Movie,A Champion Heart,David de Vos,United States
s701,TV Show,Record of Ragnarok,Not Given,Pakistan
s707,TV Show,Elite Short Stories: Omar Ander Alexis,Not Given,Pakistan
s711,TV Show,Penguin Town,Not Given,Pakistan
s115,Movie,Anjaam,Rahul Rawail,India
s715,TV Show,Beyond Evil,Not Given,Pakistan
s716,TV Show,Elite Short Stories: Nadia Guzmán,Not Given,Pakistan
s718,Movie,Headspace: Unwind Your Mind,Not Given,Pakistan
s721,TV Show,Rhyme Time Town,Not Given,Pakistan
s726,TV Show,Elite Short Stories: Guzmán Caye Rebe,Not Given,Pakistan
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Not Given,Pakistan
s739,Movie,Trese After Dark,Not Given,Pakistan
s752,TV Show,Guru Aur Bhole,Not Given,Pakistan
s843,TV Show,High on the Hog: How African American Cuisine Transformed America,Not Given,Pakistan
s848,TV Show,Mad for Each Other,Not Given,Pakistan
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Not Given,Pakistan
s937,TV Show,Miniforce: Super Dino Power,Not Given,Pakistan
s928,TV Show,Barney and Friends,Not Given,Pakistan
s958,TV Show,Pet Stars,Not Given,Pakistan
s964,TV Show,The Unremarkable Juanquini,Not Given,Pakistan
s966,TV Show,Yasuke,Not Given,Pakistan
s968,TV Show,Headspace Guide to Sleep,Not Given,Pakistan
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,Not Given
s104,Movie,Shadow Parties,Yemi Amodu,Not Given
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Not Given
s116,Movie,Bright Star,Jane Campion,United Kingdom
s117,Movie,Dhanak,Nagesh Kukunoor,India
s118,Movie,Final Account,Luke Holland,United Kingdom
s119,Movie,Gurgaon,Shanker Raman,India
s120,Movie,Here and There,JP Habac,Philippines
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France
s123,Movie,In the Cut,Jane Campion,United Kingdom
s1006,Movie,Keymon and Nani in Space Adventure,Not Given,Pakistan
s1011,Movie,Rudra: The Rise of King Pharaoh,Not Given,Pakistan
s1026,TV Show,Bakugan: Geogan Rising,Not Given,Pakistan
s127,Movie,Shikara,Vidhu Vinod Chopra,India
s128,Movie,A Cinderella Story,Mark Rosman,United States
s130,Movie,An Unfinished Life,Lasse Hallström,Germany
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States
s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Not Given,Pakistan
s134,Movie,Chappie,Neill Blomkamp,South Africa
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States
s1039,TV Show,Dancing Angels,Not Given,Pakistan
s1083,TV Show,Don't be the First one,Not Given,Pakistan
s1095,TV Show,The Wedding Coach,Not Given,Pakistan
s1096,TV Show,This Is a Robbery: The World's Biggest Art Heist,Not Given,Pakistan
s1117,TV Show,Glimpses of a Future,Not Given,Pakistan
s1181,TV Show,Alien TV,Not Given,Pakistan
s1225,TV Show,Last Chance U: Basketball,Not Given,Pakistan
s1226,TV Show,Marriage or Mortgage,Not Given,Pakistan
s1236,TV Show,Pokémon Journeys: The Series,Not Given,Pakistan
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,Not Given
s135,Movie,Clear and Present Danger,Phillip Noyce,United States
s136,Movie,Cliffhanger,Renny Harlin,United States
s137,Movie,Cold Mountain,Anthony Minghella,United States
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,Australia
