show_id,date_added,release_year,rating,duration,listed_in
s825,06/02/2021,2018,R,97 min,Thrillers
s830,5/28/2021,2021,TV-Y7,88 min,"Children & Family Movies, Comedies"
s827,5/30/2021,2021,TV-MA,88 min,Stand-Up Comedy
s829,5/28/2021,2016,PG-13,97 min,Dramas
s832,5/28/2021,2021,TV-MA,2 Seasons,"Docuseries, International TV Shows, Spanish-Language TV Shows"
s833,5/28/2021,2021,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
s835,5/27/2021,2021,TV-PG,97 min,"Children & Family Movies, Dramas, Faith & Spirituality"
s837,5/27/2021,2021,TV-MA,118 min,"Horror Movies, International Movies, Thrillers"
s846,5/25/2021,2014,TV-14,110 min,"Dramas, International Movies, Thrillers"
s839,5/27/2021,2021,TV-MA,70 min,Stand-Up Comedy
s840,5/27/2021,2018,TV-MA,91 min,"Dramas, Independent Movies, International Movies"
s841,5/26/2021,2021,TV-MA,92 min,"Dramas, International Movies, Sports Movies"
s842,5/26/2021,2021,TV-MA,120 min,"Action & Adventure, Dramas, International Movies"
s845,5/26/2021,2021,TV-MA,73 min,"Documentaries, International Movies"
s847,5/25/2021,2015,PG,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s851,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals"
s854,5/21/2021,2021,R,148 min,"Action & Adventure, Horror Movies"
s896,05/12/2021,2021,TV-14,102 min,"Dramas, International Movies, Thrillers"
s859,5/20/2021,2009,TV-14,99 min,"Dramas, Independent Movies, International Movies"
s860,5/20/2021,2011,TV-14,92 min,"Dramas, International Movies"
s861,5/20/2021,2020,TV-MA,91 min,"Documentaries, International Movies, LGBTQ Movies"
s864,5/20/2021,2011,PG,88 min,"Children & Family Movies, Comedies"
s866,5/19/2021,2014,R,109 min,"Action & Adventure, Dramas"
s867,5/19/2021,2017,R,92 min,Thrillers
s868,5/19/2021,1998,PG-13,87 min,Documentaries
s865,5/20/2021,2006,TV-14,116 min,"Dramas, International Movies, Thrillers"
s876,5/15/2021,2020,TV-MA,116 min,"Dramas, International Movies, Romantic Movies"
s871,5/18/2021,2021,TV-14,101 min,Documentaries
s872,5/18/2021,2021,TV-14,140 min,"Comedies, Dramas, International Movies"
s873,5/16/2021,2016,R,89 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
s874,5/15/2021,2021,TV-MA,81 min,"Dramas, Independent Movies, International Movies"
s857,5/21/2021,2020,TV-MA,107 min,"Dramas, International Movies"
s862,5/20/2021,2021,TV-Y7,47 min,"Children & Family Movies, Comedies"
s878,5/14/2021,2021,TV-MA,99 min,"Comedies, Independent Movies, International Movies"
s879,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers"
s880,5/14/2021,2021,TV-MA,1 Season,TV Dramas
s887,5/14/2021,2020,TV-14,1 Season,"International TV Shows, TV Horror, TV Sci-Fi & Fantasy"
s882,5/14/2021,2021,TV-MA,107 min,"Dramas, International Movies, Thrillers"
s883,5/14/2021,2021,TV-Y7,90 min,"Children & Family Movies, Comedies"
s894,5/13/2021,2020,TV-14,64 min,"Documentaries, International Movies, Music & Musicals"
s886,5/14/2021,2018,TV-MA,104 min,"Comedies, Dramas, International Movies"
s888,5/14/2021,2020,TV-MA,100 min,"Horror Movies, International Movies, Thrillers"
s890,5/14/2021,2021,R,102 min,"Dramas, Thrillers"
s892,5/13/2021,2004,R,105 min,"Independent Movies, International Movies, Thrillers"
s893,5/13/2021,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
s895,05/12/2021,2021,TV-MA,99 min,"Dramas, Independent Movies, International Movies"
s898,05/12/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s900,05/11/2021,2020,TV-MA,119 min,"Dramas, International Movies"
s899,05/11/2021,2020,TV-14,126 min,"Comedies, Dramas, International Movies"
s902,05/10/2021,2019,TV-PG,86 min,"Independent Movies, Thrillers"
s904,05/09/2021,2021,TV-MA,122 min,"Dramas, International Movies, Thrillers"
s905,05/08/2021,2017,R,95 min,Action & Adventure
s906,05/08/2021,2021,TV-14,104 min,"Action & Adventure, Dramas, International Movies"
s907,05/07/2021,1999,TV-MA,118 min,"Dramas, International Movies"
s908,05/07/2021,2020,TV-MA,85 min,Documentaries
s910,05/07/2021,2021,TV-14,98 min,"Dramas, Independent Movies, International Movies"
